"Year","Annual.mean"
1993,0.4151283545
1994,0.706279056916667
1995,1.60530292558333
1996,-0.233293926
1997,-0.701615667916667
1998,-0.935776443083333
1999,-0.332512985833333
2000,1.28076258575
2001,-0.27580446675
2002,0.294355370166667
2003,-0.777962345083333
2004,-0.9187642945
2005,-0.727054853833333
2006,-0.0556395226666667
2007,-0.6983310885
2008,-0.29795803525
2009,0.0795193578333333
2010,-0.42848465975
2011,-1.05805028675
2012,0.35530060825
2013,-0.572025411666667
2014,0.0758552145833333
2015,0.512142452833333
2016,0.746508106583333
2017,0.433899177416667
2018,1.50822077758333
