"","Model","NAA_cor","NAA_sigma","GSI_mod","GSI_obserr","GSI_how","conv","pdHess","runtime","NLL","dAIC","AIC"
"1","m1","iid","rec+1","rw","est",0,FALSE,FALSE,0.35,-839.632,NA,NA
"2","m2","ar1_a","rec+1","rw","est",0,FALSE,FALSE,0.81,-849.944,NA,NA
"3","m3","ar1_y","rec+1","rw","est",0,FALSE,FALSE,0.7,-857.978,NA,NA
"4","m4","2dar1","rec+1","rw","est",0,FALSE,FALSE,0.7,-864.264,NA,NA
"5","m5","iid","rec+1","rw","est",2,TRUE,TRUE,0.34,-832.847,23.3,-1521.7
"6","m6","ar1_a","rec+1","rw","est",2,TRUE,TRUE,0.73,-838.584,13.8,-1531.2
"7","m7","ar1_y","rec+1","rw","est",2,TRUE,TRUE,0.83,-845.265,0.5,-1544.5
"8","m8","2dar1","rec+1","rw","est",2,FALSE,FALSE,0.79,-866.511,NA,NA
"9","m9","iid","rec+1","ar1","est",0,TRUE,TRUE,0.34,-823.38,42.2,-1502.8
"10","m10","ar1_a","rec+1","ar1","est",0,TRUE,TRUE,0.74,-828.818,33.4,-1511.6
"11","m11","ar1_y","rec+1","ar1","est",0,TRUE,FALSE,0.84,-840.089,NA,NA
"12","m12","2dar1","rec+1","ar1","est",0,FALSE,FALSE,0.92,-842.501,NA,NA
"13","m13","iid","rec+1","ar1","est",2,TRUE,TRUE,0.35,-831.959,27.1,-1517.9
"14","m14","ar1_a","rec+1","ar1","est",2,TRUE,TRUE,0.73,-837.633,17.7,-1527.3
"15","m15","ar1_y","rec+1","ar1","est",2,TRUE,TRUE,0.88,-844.45,4.1,-1540.9
"16","m16","2dar1","rec+1","ar1","est",2,TRUE,FALSE,0.94,-847.01,NA,NA
"17","m17","iid","rec+1","rw","data",0,TRUE,TRUE,0.32,-824.875,35.2,-1509.8
"18","m18","ar1_a","rec+1","rw","data",0,TRUE,TRUE,0.68,-830.313,26.4,-1518.6
"19","m19","ar1_y","rec+1","rw","data",0,TRUE,FALSE,0.79,-841.585,NA,NA
"20","m20","2dar1","rec+1","rw","data",0,TRUE,TRUE,0.9,-707.553,273.9,-1271.1
"21","m21","iid","rec+1","rw","data",2,TRUE,TRUE,0.35,-832.751,21.5,-1523.5
"22","m22","ar1_a","rec+1","rw","data",2,TRUE,TRUE,0.75,-838.128,12.7,-1532.3
"23","m23","ar1_y","rec+1","rw","data",2,TRUE,FALSE,0.79,-845.373,NA,NA
"24","m24","2dar1","rec+1","rw","data",2,TRUE,FALSE,0.72,-847.897,NA,NA
"25","m25","iid","rec+1","ar1","data",0,TRUE,TRUE,0.31,-823.505,40,-1505
"26","m26","ar1_a","rec+1","ar1","data",0,TRUE,TRUE,0.73,-828.944,31.1,-1513.9
"27","m27","ar1_y","rec+1","ar1","data",0,TRUE,TRUE,0.83,-840.216,8.6,-1536.4
"28","m28","2dar1","rec+1","ar1","data",0,TRUE,FALSE,0.66,-842.627,NA,NA
"29","m29","iid","rec+1","ar1","data",2,TRUE,TRUE,0.36,-831.341,26.3,-1518.7
"30","m30","ar1_a","rec+1","ar1","data",2,TRUE,TRUE,0.71,-836.718,17.6,-1527.4
"31","m31","ar1_y","rec+1","ar1","data",2,TRUE,FALSE,0.65,-843.954,NA,NA
"32","m32","2dar1","rec+1","ar1","data",2,TRUE,TRUE,1,-846.496,0,-1545
