"","Model","NAA_cor","NAA_sigma","GSI_mod","GSI_obserr","GSI_how","conv","pdHess","runtime","NLL","dAIC","AIC"
"1","m1","iid","rec+1","rw","est",0,FALSE,FALSE,0.34,-657.054,NA,NA
"2","m2","ar1_a","rec+1","rw","est",0,FALSE,FALSE,0.71,-666.482,NA,NA
"3","m3","ar1_y","rec+1","rw","est",0,FALSE,FALSE,0.65,-671.889,NA,NA
"4","m4","2dar1","rec+1","rw","est",0,FALSE,FALSE,0.73,-673.836,NA,NA
"5","m5","iid","rec+1","rw","est",2,TRUE,TRUE,0.35,-646.647,7,-1143.3
"6","m6","ar1_a","rec+1","rw","est",2,TRUE,TRUE,0.76,-650.412,1.5,-1148.8
"7","m7","ar1_y","rec+1","rw","est",2,FALSE,FALSE,0.76,-674.519,NA,NA
"8","m8","2dar1","rec+1","rw","est",2,FALSE,FALSE,0.82,-680.767,NA,NA
"9","m9","iid","rec+1","ar1","est",0,TRUE,TRUE,0.36,-638.064,24.2,-1126.1
"10","m10","ar1_a","rec+1","ar1","est",0,TRUE,TRUE,0.68,-642.138,18,-1132.3
"11","m11","ar1_y","rec+1","ar1","est",0,TRUE,FALSE,0.75,-656.316,NA,NA
"12","m12","2dar1","rec+1","ar1","est",0,TRUE,FALSE,0.64,-658.068,NA,NA
"13","m13","iid","rec+1","ar1","est",2,TRUE,TRUE,0.35,-645.778,10.7,-1139.6
"14","m14","ar1_a","rec+1","ar1","est",2,TRUE,TRUE,0.74,-649.503,5.3,-1145
"15","m15","ar1_y","rec+1","ar1","est",2,TRUE,FALSE,0.69,-658.17,NA,NA
"16","m16","2dar1","rec+1","ar1","est",2,TRUE,FALSE,1.09,-661.603,NA,NA
"17","m17","iid","rec+1","rw","data",0,TRUE,TRUE,0.34,-639.559,17.2,-1133.1
"18","m18","ar1_a","rec+1","rw","data",0,TRUE,TRUE,0.86,-643.633,11,-1139.3
"19","m19","ar1_y","rec+1","rw","data",0,TRUE,FALSE,0.79,-657.812,NA,NA
"20","m20","2dar1","rec+1","rw","data",0,FALSE,FALSE,0.63,-659.564,NA,NA
"21","m21","iid","rec+1","rw","data",2,TRUE,TRUE,0.43,-646.625,5,-1145.3
"22","m22","ar1_a","rec+1","rw","data",2,TRUE,TRUE,0.76,-650.148,0,-1150.3
"23","m23","ar1_y","rec+1","rw","data",2,TRUE,FALSE,0.65,-659.144,NA,NA
"24","m24","2dar1","rec+1","rw","data",2,TRUE,FALSE,0.98,-662.56,NA,NA
"25","m25","iid","rec+1","ar1","data",0,TRUE,TRUE,0.34,-638.189,21.9,-1128.4
"26","m26","ar1_a","rec+1","ar1","data",0,TRUE,TRUE,0.7,-642.264,15.8,-1134.5
"27","m27","ar1_y","rec+1","ar1","data",0,FALSE,FALSE,0.66,-656.442,NA,NA
"28","m28","2dar1","rec+1","ar1","data",0,FALSE,FALSE,0.69,-658.194,NA,NA
"29","m29","iid","rec+1","ar1","data",2,TRUE,TRUE,0.42,-645.222,9.9,-1140.4
"30","m30","ar1_a","rec+1","ar1","data",2,TRUE,TRUE,0.87,-648.746,4.8,-1145.5
"31","m31","ar1_y","rec+1","ar1","data",2,TRUE,FALSE,0.83,-657.748,NA,NA
"32","m32","2dar1","rec+1","ar1","data",2,TRUE,FALSE,1.25,-481.183,NA,NA
