"","Model","NAA_cor","NAA_sigma","GSI_mod","GSI_obserr","GSI_how","conv","pdHess","runtime","NLL","dAIC","AIC"
"1","m1","iid","rec+1","rw","est",0,FALSE,FALSE,0.78,-840.808,NA,NA
"2","m2","ar1_a","rec+1","rw","est",0,FALSE,FALSE,0.85,-849.008,NA,NA
"3","m3","ar1_y","rec+1","rw","est",0,FALSE,FALSE,1.06,-852.485,NA,NA
"4","m4","2dar1","rec+1","rw","est",0,FALSE,FALSE,0.97,-856.757,NA,NA
"5","m5","iid","rec+1","rw","est",2,TRUE,TRUE,0.71,-832.849,10.6,-1517.7
"6","m6","ar1_a","rec+1","rw","est",2,TRUE,TRUE,1.3,-838.597,1.1,-1527.2
"7","m7","ar1_y","rec+1","rw","est",2,FALSE,TRUE,1.84,-833.5,11.3,-1517
"8","m8","2dar1","rec+1","rw","est",2,FALSE,FALSE,1.29,-854.385,NA,NA
"9","m9","iid","rec+1","ar1","est",0,TRUE,TRUE,0.8,-823.38,29.5,-1498.8
"10","m10","ar1_a","rec+1","ar1","est",0,TRUE,TRUE,1.04,-828.821,20.7,-1507.6
"11","m11","ar1_y","rec+1","ar1","est",0,TRUE,FALSE,1.09,-829.525,NA,NA
"12","m12","2dar1","rec+1","ar1","est",0,TRUE,FALSE,1.21,-831.735,NA,NA
"13","m13","iid","rec+1","ar1","est",2,TRUE,TRUE,0.68,-831.961,14.4,-1513.9
"14","m14","ar1_a","rec+1","ar1","est",2,TRUE,TRUE,1.36,-837.644,5,-1523.3
"15","m15","ar1_y","rec+1","ar1","est",2,FALSE,FALSE,1.16,-834.861,NA,NA
"16","m16","2dar1","rec+1","ar1","est",2,TRUE,FALSE,1.28,-836.578,NA,NA
"17","m17","iid","rec+1","rw","data",0,TRUE,TRUE,0.82,-824.875,22.5,-1505.8
"18","m18","ar1_a","rec+1","rw","data",0,TRUE,TRUE,1.27,-830.317,13.7,-1514.6
"19","m19","ar1_y","rec+1","rw","data",0,TRUE,FALSE,0.98,-831.02,NA,NA
"20","m20","2dar1","rec+1","rw","data",0,TRUE,FALSE,1.51,-833.231,NA,NA
"21","m21","iid","rec+1","rw","data",2,TRUE,TRUE,0.83,-832.753,8.8,-1519.5
"22","m22","ar1_a","rec+1","rw","data",2,TRUE,TRUE,1.2,-838.135,0,-1528.3
"23","m23","ar1_y","rec+1","rw","data",2,TRUE,FALSE,0.99,-834.49,NA,NA
"24","m24","2dar1","rec+1","rw","data",2,TRUE,FALSE,1.49,-836.611,NA,NA
"25","m25","iid","rec+1","ar1","data",0,TRUE,TRUE,0.78,-823.505,27.3,-1501
"26","m26","ar1_a","rec+1","ar1","data",0,TRUE,TRUE,1.29,-828.947,18.4,-1509.9
"27","m27","ar1_y","rec+1","ar1","data",0,TRUE,FALSE,0.82,-829.651,NA,NA
"28","m28","2dar1","rec+1","ar1","data",0,TRUE,FALSE,0.83,-831.861,NA,NA
"29","m29","iid","rec+1","ar1","data",2,TRUE,TRUE,0.37,-831.343,13.6,-1514.7
"30","m30","ar1_a","rec+1","ar1","data",2,TRUE,TRUE,0.79,-836.726,4.8,-1523.5
"31","m31","ar1_y","rec+1","ar1","data",2,TRUE,FALSE,0.81,-833.099,NA,NA
"32","m32","2dar1","rec+1","ar1","data",2,FALSE,FALSE,0.98,-835.222,NA,NA
