"","Model","NAA_cor","NAA_sigma","GSI_mod","GSI_obserr","GSI_how","conv","pdHess","runtime","NLL","dAIC","AIC"
"1","m1","iid","rec+1","rw","est",0,TRUE,TRUE,0.36,-830.944,27.9,-1525.9
"2","m2","ar1_a","rec+1","rw","est",0,TRUE,TRUE,0.71,-836.833,18.1,-1535.7
"3","m3","ar1_y","rec+1","rw","est",0,TRUE,FALSE,1,-845.658,NA,NA
"4","m4","2dar1","rec+1","rw","est",0,TRUE,FALSE,0.74,-845.534,NA,NA
"5","m5","iid","rec+1","rw","est",2,TRUE,TRUE,0.35,-838.033,15.7,-1538.1
"6","m6","ar1_a","rec+1","rw","est",2,TRUE,TRUE,0.36,-843.792,6.2,-1547.6
"7","m7","ar1_y","rec+1","rw","est",2,TRUE,FALSE,0.72,-848.869,NA,NA
"8","m8","2dar1","rec+1","rw","est",2,TRUE,FALSE,0.74,-848.742,NA,NA
"9","m9","iid","rec+1","ar1","est",0,TRUE,TRUE,0.32,-834.847,22.1,-1531.7
"10","m10","ar1_a","rec+1","ar1","est",0,TRUE,TRUE,0.67,-840.737,12.3,-1541.5
"11","m11","ar1_y","rec+1","ar1","est",0,TRUE,FALSE,0.89,-849.562,NA,NA
"12","m12","2dar1","rec+1","ar1","est",0,TRUE,FALSE,0.66,-849.437,NA,NA
"13","m13","iid","rec+1","ar1","est",2,TRUE,TRUE,0.34,-841.843,10.1,-1543.7
"14","m14","ar1_a","rec+1","ar1","est",2,TRUE,TRUE,0.35,-847.606,0.6,-1553.2
"15","m15","ar1_y","rec+1","ar1","est",2,TRUE,FALSE,0.69,-852.72,NA,NA
"16","m16","2dar1","rec+1","ar1","est",2,TRUE,FALSE,0.73,-852.598,NA,NA
"17","m17","iid","rec+1","rw","data",0,TRUE,TRUE,0.34,-831.028,29.7,-1524.1
"18","m18","ar1_a","rec+1","rw","data",0,TRUE,TRUE,0.7,-836.917,20,-1533.8
"19","m19","ar1_y","rec+1","rw","data",0,TRUE,FALSE,0.68,-845.742,NA,NA
"20","m20","2dar1","rec+1","rw","data",0,TRUE,FALSE,0.66,-845.617,NA,NA
"21","m21","iid","rec+1","rw","data",2,TRUE,TRUE,0.4,-841.479,10.8,-1543
"22","m22","ar1_a","rec+1","rw","data",2,TRUE,TRUE,0.41,-847.906,0,-1553.8
"23","m23","ar1_y","rec+1","rw","data",2,FALSE,FALSE,1.03,-848.147,NA,NA
"24","m24","2dar1","rec+1","rw","data",2,TRUE,FALSE,0.85,-854.644,NA,NA
"25","m25","iid","rec+1","ar1","data",0,TRUE,TRUE,0.36,-834.881,24,-1529.8
"26","m26","ar1_a","rec+1","ar1","data",0,TRUE,TRUE,0.78,-840.771,14.3,-1539.5
"27","m27","ar1_y","rec+1","ar1","data",0,FALSE,FALSE,0.66,-846.934,NA,NA
"28","m28","2dar1","rec+1","ar1","data",0,FALSE,FALSE,0.67,-848.761,NA,NA
"29","m29","iid","rec+1","ar1","data",2,TRUE,TRUE,0.41,-842.318,11.2,-1542.6
"30","m30","ar1_a","rec+1","ar1","data",2,TRUE,TRUE,0.41,-848.896,0,-1553.8
"31","m31","ar1_y","rec+1","ar1","data",2,TRUE,FALSE,0.74,-853.284,NA,NA
"32","m32","2dar1","rec+1","ar1","data",2,TRUE,FALSE,0.98,-853.11,NA,NA
