"","Model","M_re","est_M","conv","pdHess","runtime","NLL","dAIC","AIC","rho_R","rho_SSB","rho_Fbar"
"1","m1","none",FALSE,TRUE,TRUE,1.01,-1047.803,25.9,-1933.6,0.5619,0.0912,-0.0314
"2","m2","iid",FALSE,TRUE,TRUE,2.02,-1061.727,0,-1959.5,0.5177,0.1024,-0.0377
"3","m3","ar1_a",FALSE,TRUE,TRUE,1.63,-1048.181,29.1,-1930.4,0.5052,0.0869,-0.0439
"4","m4","ar1_y",FALSE,TRUE,TRUE,1.54,-1049.914,25.7,-1933.8,0.0909,0.0409,0.0281
"5","m5","2dar1",FALSE,FALSE,FALSE,1.24,-1058.524,NA,NA,0.0842,0.0118,0
"6","m6","none",TRUE,TRUE,TRUE,1.08,-1050.909,21.7,-1937.8,0.3013,-0.0115,0.0743
"7","m7","iid",TRUE,FALSE,FALSE,7.09,NA,NA,NA,0.0913,Inf,732.1851
"8","m8","ar1_a",TRUE,TRUE,TRUE,1.65,-1050.98,25.5,-1934,0.302,-0.0198,0.0797
"9","m9","ar1_y",TRUE,TRUE,TRUE,1.63,-1050.909,25.7,-1933.8,0.3013,-0.0115,0.0743
"10","m10","2dar1",TRUE,FALSE,FALSE,1.73,-1063.497,NA,NA,0.0665,0.026,-1e-04
