"","Model","NAA_re","M_re","est_M","CPI_how","CPI_mod","conv","pdHess","runtime","NLL","dAIC","AIC","rho_R","rho_SSB","rho_Fbar"
"1","m1","iid","iid",FALSE,0,"rw",TRUE,TRUE,1.4,-974.644,43.1,-1785.3,0.2725,0.1875,-0.1049
"2","m2","iid","iid",FALSE,2,"rw",TRUE,TRUE,1.37,-988.819,16.8,-1811.6,0.1688,0.1654,-0.0932
"3","m3","iid","iid",TRUE,0,"rw",FALSE,FALSE,1.68,NA,NA,NA,NA,NA,NA
"4","m4","iid","iid",TRUE,2,"rw",FALSE,FALSE,0.69,-998.129,NA,NA,NA,NA,NA
"5","m5","2dar1","iid",FALSE,0,"rw",TRUE,TRUE,2.17,-990.701,15,-1813.4,0.4424,-0.0057,0.0726
"6","m6","2dar1","iid",FALSE,2,"rw",FALSE,FALSE,1.62,-998.48,NA,NA,NA,NA,NA
"7","m7","2dar1","iid",TRUE,0,"rw",FALSE,FALSE,1.11,-992.825,NA,NA,NA,NA,NA
"8","m8","2dar1","iid",TRUE,2,"rw",FALSE,FALSE,3.4,NA,NA,NA,NA,NA,NA
"9","m9","iid","2dar1",FALSE,0,"rw",TRUE,TRUE,1.47,-976.197,44,-1784.4,-0.2236,0.0265,0.038
"10","m10","iid","2dar1",FALSE,2,"rw",TRUE,TRUE,1.41,-987.466,23.5,-1804.9,-0.1071,0.0207,0.0521
"11","m11","iid","2dar1",TRUE,0,"rw",TRUE,TRUE,1.42,-982.133,34.1,-1794.3,-0.5173,-0.2873,0.5822
"12","m12","iid","2dar1",TRUE,2,"rw",TRUE,TRUE,1.56,-993.693,13,-1815.4,-0.3799,-0.2221,0.4205
"13","m13","iid","iid",FALSE,0,"ar1",TRUE,TRUE,1.38,-986.303,21.8,-1806.6,0.2028,0.1685,-0.0942
"14","m14","iid","iid",FALSE,2,"ar1",TRUE,TRUE,1.38,-996.345,3.7,-1824.7,0.1645,0.1659,-0.0938
"15","m15","iid","iid",TRUE,0,"ar1",FALSE,FALSE,1.63,NA,NA,NA,NA,NA,NA
"16","m16","iid","iid",TRUE,2,"ar1",FALSE,FALSE,0.87,-1008.479,NA,NA,NA,NA,NA
"17","m17","2dar1","iid",FALSE,0,"ar1",TRUE,TRUE,2.41,-996.94,4.5,-1823.9,0.5177,0.1024,-0.0377
"18","m18","2dar1","iid",FALSE,2,"ar1",FALSE,FALSE,3.73,-295.924,NA,NA,NA,NA,NA
"19","m19","2dar1","iid",TRUE,0,"ar1",FALSE,FALSE,1.33,-997.006,NA,NA,NA,NA,NA
"20","m20","2dar1","iid",TRUE,2,"ar1",FALSE,FALSE,0.59,-1006.432,NA,NA,NA,NA,NA
"21","m21","iid","2dar1",FALSE,0,"ar1",TRUE,TRUE,1.69,-983.903,30.6,-1797.8,-0.209,0.0425,0.0278
"22","m22","iid","2dar1",FALSE,2,"ar1",TRUE,TRUE,1.61,-994.979,10.4,-1818,-0.1087,0.0223,0.0585
"23","m23","iid","2dar1",TRUE,0,"ar1",TRUE,TRUE,1.59,-989.84,20.7,-1807.7,-0.5114,-0.2777,0.5235
"24","m24","iid","2dar1",TRUE,2,"ar1",TRUE,TRUE,1.47,-1001.182,0,-1828.4,-0.4267,-0.2587,0.5392
