"","Model","M_re","est_M","conv","pdHess","runtime","NLL","dAIC","AIC","rho_R","rho_SSB","rho_Fbar"
"1","m1","none",FALSE,TRUE,TRUE,3.96,-932.154,230.9,-1708.3,6.0725,1.0464,-0.43
"2","m2","iid",FALSE,TRUE,TRUE,17.36,-1038.113,21,-1918.2,0.1138,0.2027,-0.1325
"3","m3","ar1_a",FALSE,TRUE,TRUE,3.6,-977.931,143.3,-1795.9,2.0617,0.1133,-0.1019
"4","m4","ar1_y",FALSE,TRUE,TRUE,4.97,-987.728,123.7,-1815.5,1.1542,-0.1179,0.3045
"5","m5","2dar1",FALSE,TRUE,TRUE,9.26,-1043.05,15.1,-1924.1,-0.0618,0.1041,-0.0749
"6","m6","none",TRUE,TRUE,TRUE,1.66,-975.444,146.3,-1792.9,2.3594,0.1576,-0.1066
"7","m7","iid",TRUE,TRUE,TRUE,9.52,-1045.051,9.1,-1930.1,-0.1543,-0.0394,0.0874
"8","m8","ar1_a",TRUE,TRUE,TRUE,2.55,-982.263,136.7,-1802.5,1.9773,0.1331,-0.0923
"9","m9","ar1_y",TRUE,TRUE,TRUE,3.83,-983.373,134.5,-1804.7,1.5195,-0.1018,0.2636
"10","m10","2dar1",TRUE,TRUE,TRUE,9.18,-1051.61,0,-1939.2,-0.3157,-0.1732,0.2716
