,Model,M_re,est_M,conv,pdHess,runtime,NLL,dAIC,AIC,rho_R,rho_SSB,rho_Fbar
1,m1,none,FALSE,TRUE,TRUE,0.99,-1047.493,26,-1933,0.5524,0.0902,-0.033
2,m2,iid,FALSE,TRUE,TRUE,2.03,-1061.476,0,-1959,0.5055,0.1022,-0.0403
3,m3,ar1_a,FALSE,TRUE,TRUE,1.55,-1047.87,29.3,-1929.7,0.4876,0.0855,-0.0429
4,m4,ar1_y,FALSE,TRUE,TRUE,1.51,-1049.65,25.7,-1933.3,0.0812,0.0389,0.0284
5,m5,2dar1,FALSE,FALSE,FALSE,6.87,NA,NA,NA,NA,NA,NA
6,m6,none,TRUE,TRUE,TRUE,1.05,-1050.597,21.8,-1937.2,0.2835,-0.016,0.0768
7,m7,iid,TRUE,FALSE,FALSE,0.49,-1062.358,NA,NA,0.0712,0.0389,-0.0152
8,m8,ar1_a,TRUE,TRUE,TRUE,1.72,-1050.665,25.7,-1933.3,0.2851,-0.0241,0.0822
9,m9,ar1_y,TRUE,TRUE,TRUE,1.35,-1050.597,25.8,-1933.2,0.2835,-0.016,0.0768
10,m10,2dar1,TRUE,FALSE,FALSE,18.83,NA,NA,NA,NA,NA,NA
