,Model,M_re,est_M,conv,pdHess,runtime,NLL,dAIC,AIC,rho_R,rho_SSB,rho_Fbar
1,m1,none,FALSE,TRUE,TRUE,0.39,-1027.418,46,-1896.8,0.9768,0.273,-0.1751
2,m2,iid,FALSE,TRUE,TRUE,1.34,-1050.898,1,-1941.8,0.1987,0.1723,-0.0993
3,m3,ar1_a,FALSE,TRUE,TRUE,1.23,-1033.415,38,-1904.8,0.3555,-0.0259,0.0566
4,m4,ar1_y,FALSE,TRUE,TRUE,0.46,-1040.239,24.3,-1918.5,0.256,-0.0093,0.1117
5,m5,2dar1,FALSE,TRUE,TRUE,1.38,-1048.417,10,-1932.8,-0.2151,0.0253,0.044
6,m6,none,TRUE,TRUE,TRUE,0.36,-1037.231,28.3,-1914.5,0.387,-0.0062,0.0659
7,m7,iid,TRUE,FALSE,FALSE,2.43,471817.782,NA,NA,NA,NA,NA
8,m8,ar1_a,TRUE,TRUE,TRUE,1.17,-1037.993,30.8,-1912,0.3922,-0.0083,0.0526
9,m9,ar1_y,TRUE,TRUE,TRUE,0.46,-1038.65,29.5,-1913.3,1.0314,0.2608,-0.0446
10,m10,2dar1,TRUE,TRUE,TRUE,1.48,-1054.422,0,-1942.8,-0.5252,-0.2936,0.5869
