"","Model","NAA_cor","NAA_sigma","GSI_mod","GSI_obserr","GSI_how","pdHess","runtime","NLL","dAIC","AIC"
"1","m1","iid","rec+1","rw","est",0,FALSE,0.41,-1004.867,NA,NA
"2","m2","ar1_a","rec+1","rw","est",0,FALSE,0.76,-1003.523,NA,NA
"3","m3","ar1_y","rec+1","rw","est",0,FALSE,0.84,-1012.034,NA,NA
"4","m4","2dar1","rec+1","rw","est",0,FALSE,0.9,-1012.205,NA,NA
"5","m5","iid","rec+1","rw","est",2,TRUE,0.48,-990.489,26.4,-1811
"6","m6","ar1_a","rec+1","rw","est",2,TRUE,0.49,-998.838,11.7,-1825.7
"7","m7","ar1_y","rec+1","rw","est",2,TRUE,1.08,-1001.814,5.8,-1831.6
"8","m8","2dar1","rec+1","rw","est",2,TRUE,1.25,-1005.027,1.3,-1836.1
"9","m9","iid","rec+1","ar1","est",0,TRUE,0.44,-975.694,56,-1781.4
"10","m10","ar1_a","rec+1","ar1","est",0,TRUE,0.99,-984.912,39.6,-1797.8
"11","m11","ar1_y","rec+1","ar1","est",0,TRUE,0.95,-992.109,25.2,-1812.2
"12","m12","2dar1","rec+1","ar1","est",0,TRUE,1.13,-995.72,20,-1817.4
"13","m13","iid","rec+1","ar1","est",2,TRUE,0.48,-989.644,30.1,-1807.3
"14","m14","ar1_a","rec+1","ar1","est",2,TRUE,0.51,-998.039,15.3,-1822.1
"15","m15","ar1_y","rec+1","ar1","est",2,TRUE,1.1,-1001.014,9.4,-1828
"16","m16","2dar1","rec+1","ar1","est",2,TRUE,1.37,-1004.245,4.9,-1832.5
"17","m17","iid","rec+1","rw","data",0,TRUE,0.41,-977.19,49,-1788.4
"18","m18","ar1_a","rec+1","rw","data",0,TRUE,0.99,-986.408,32.6,-1804.8
"19","m19","ar1_y","rec+1","rw","data",0,TRUE,1.06,-993.604,18.2,-1819.2
"20","m20","2dar1","rec+1","rw","data",0,TRUE,1.19,-997.215,13,-1824.4
"21","m21","iid","rec+1","rw","data",2,TRUE,0.43,-989.298,26.8,-1810.6
"22","m22","ar1_a","rec+1","rw","data",2,TRUE,0.53,-998.075,11.2,-1826.2
"23","m23","ar1_y","rec+1","rw","data",2,TRUE,1.11,-1001.085,5.2,-1832.2
"24","m24","2dar1","rec+1","rw","data",2,TRUE,1.23,-1004.71,0,-1837.4
"25","m25","iid","rec+1","ar1","data",0,TRUE,0.41,-975.82,53.8,-1783.6
"26","m26","ar1_a","rec+1","ar1","data",0,TRUE,0.9,-985.038,37.3,-1800.1
"27","m27","ar1_y","rec+1","ar1","data",0,TRUE,1.03,-992.234,22.9,-1814.5
"28","m28","2dar1","rec+1","ar1","data",0,TRUE,1.12,-995.845,17.7,-1819.7
"29","m29","iid","rec+1","ar1","data",2,TRUE,0.44,-987.897,31.6,-1805.8
"30","m30","ar1_a","rec+1","ar1","data",2,TRUE,0.51,-996.671,16.1,-1821.3
"31","m31","ar1_y","rec+1","ar1","data",2,TRUE,1.1,-999.671,10.1,-1827.3
"32","m32","2dar1","rec+1","ar1","data",2,TRUE,1.18,-1003.303,4.8,-1832.6
