"","Model","NAA_re","est_M","M_re","pdHess","runtime","NLL","dAIC","AIC"
"1","m1","iid",FALSE,"none",TRUE,0.39,-1027.699,51.5,-1893.4
"2","m2","ar1_a",FALSE,"none",TRUE,0.84,-1036.916,35.1,-1909.8
"3","m3","ar1_y",FALSE,"none",TRUE,0.97,-1044.113,20.7,-1924.2
"4","m4","2dar1",FALSE,"none",TRUE,1.08,-1047.724,15.5,-1929.4
"5","m5","iid",FALSE,"iid",TRUE,1.47,-1047.498,13.9,-1931
"6","m6","ar1_a",FALSE,"iid",TRUE,1.43,-1055.458,0,-1944.9
"7","m7","ar1_y",FALSE,"iid",FALSE,3.06,-1044.758,NA,NA
"8","m8","2dar1",FALSE,"iid",FALSE,3.49,-1060.105,NA,NA
"9","m9","iid",FALSE,"ar1_a",TRUE,1.54,-1037.783,35.3,-1909.6
"10","m10","ar1_a",FALSE,"ar1_a",FALSE,1.49,NA,NA,NA
"11","m11","ar1_y",FALSE,"ar1_a",TRUE,1.52,-1044.113,24.7,-1920.2
"12","m12","2dar1",FALSE,"ar1_a",TRUE,2.01,-1050.138,14.6,-1930.3
"13","m13","iid",FALSE,"ar1_y",TRUE,0.5,-1040.81,29.3,-1915.6
"14","m14","ar1_a",FALSE,"ar1_y",TRUE,0.5,-1043.649,25.6,-1919.3
"15","m15","ar1_y",FALSE,"ar1_y",TRUE,1.29,-1044.113,24.7,-1920.2
"16","m16","2dar1",FALSE,"ar1_y",FALSE,1.13,-1047.724,NA,NA
"17","m17","iid",FALSE,"2dar1",TRUE,1.57,-1048.509,15.9,-1929
"18","m18","ar1_a",FALSE,"2dar1",FALSE,1.12,-1056.203,NA,NA
"19","m19","ar1_y",FALSE,"2dar1",FALSE,3.01,-1001.652,NA,NA
"20","m20","2dar1",FALSE,"2dar1",FALSE,3.48,123950.386,NA,NA
"21","m21","iid",TRUE,"none",TRUE,0.4,-1037.831,33.2,-1911.7
"22","m22","ar1_a",TRUE,"none",TRUE,0.94,-1043.47,24,-1920.9
"23","m23","ar1_y",TRUE,"none",TRUE,1.1,-1048.024,14.9,-1930
"24","m24","2dar1",TRUE,"none",TRUE,1.14,-1050.979,10.9,-1934
"25","m25","iid",TRUE,"iid",FALSE,0.86,-1060.254,NA,NA
"26","m26","ar1_a",TRUE,"iid",FALSE,2.76,29884.285,NA,NA
"27","m27","ar1_y",TRUE,"iid",FALSE,1.26,-1070.284,NA,NA
"28","m28","2dar1",TRUE,"iid",FALSE,1.43,-1072.593,NA,NA
"29","m29","iid",TRUE,"ar1_a",TRUE,1.38,-1040.995,30.9,-1914
"30","m30","ar1_a",TRUE,"ar1_a",TRUE,1.54,-1046.301,22.3,-1922.6
"31","m31","ar1_y",TRUE,"ar1_a",TRUE,1.68,-1048.858,17.2,-1927.7
"32","m32","2dar1",TRUE,"ar1_a",TRUE,1.81,-1052.122,12.7,-1932.2
"33","m33","iid",TRUE,"ar1_y",FALSE,0.48,-1039.201,NA,NA
"34","m34","ar1_a",TRUE,"ar1_y",TRUE,0.6,-1043.47,28,-1916.9
"35","m35","ar1_y",TRUE,"ar1_y",TRUE,1.35,-1048.024,18.9,-1926
"36","m36","2dar1",TRUE,"ar1_y",TRUE,1.54,-1050.979,14.9,-1930
"37","m37","iid",TRUE,"2dar1",TRUE,1.62,-1054.82,5.3,-1939.6
"38","m38","ar1_a",TRUE,"2dar1",TRUE,1.74,-1056.806,3.3,-1941.6
"39","m39","ar1_y",TRUE,"2dar1",FALSE,1.36,-1073.514,NA,NA
"40","m40","2dar1",TRUE,"2dar1",FALSE,1.73,-1076.302,NA,NA
