"","Model","NAA_re","est_M","M_re","pdHess","runtime","NLL","dAIC","AIC"
"1","m1","iid",FALSE,"none",TRUE,0.51,-990.489,50,-1811
"2","m2","ar1_a",FALSE,"none",TRUE,0.5,-998.838,35.3,-1825.7
"3","m3","ar1_y",FALSE,"none",TRUE,1.08,-1001.814,29.4,-1831.6
"4","m4","2dar1",FALSE,"none",FALSE,0.93,-1005.027,NA,NA
"5","m5","iid",FALSE,"iid",TRUE,1.65,-1012.039,8.9,-1852.1
"6","m6","ar1_a",FALSE,"iid",FALSE,1.21,-1015.469,NA,NA
"7","m7","ar1_y",FALSE,"iid",FALSE,1.96,-1020.924,NA,NA
"8","m8","2dar1",FALSE,"iid",TRUE,2.26,-1018.521,0,-1861
"9","m9","iid",FALSE,"ar1_a",TRUE,1.49,-1001.418,32.2,-1828.8
"10","m10","ar1_a",FALSE,"ar1_a",FALSE,1.59,-1003.239,NA,NA
"11","m11","ar1_y",FALSE,"ar1_a",TRUE,1.96,-1005.414,26.2,-1834.8
"12","m12","2dar1",FALSE,"ar1_a",TRUE,2.09,-1008.462,22.1,-1838.9
"13","m13","iid",FALSE,"ar1_y",TRUE,1.23,-1003.941,27.1,-1833.9
"14","m14","ar1_a",FALSE,"ar1_y",FALSE,1.04,-1006.106,NA,NA
"15","m15","ar1_y",FALSE,"ar1_y",TRUE,1.49,-1001.814,33.4,-1827.6
"16","m16","2dar1",FALSE,"ar1_y",FALSE,1.67,-1005.027,NA,NA
"17","m17","iid",FALSE,"2dar1",FALSE,1.79,-1015.477,NA,NA
"18","m18","ar1_a",FALSE,"2dar1",FALSE,1.84,-1016.545,NA,NA
"19","m19","ar1_y",FALSE,"2dar1",FALSE,2.04,-1022.474,NA,NA
"20","m20","2dar1",FALSE,"2dar1",FALSE,1.44,-1023.888,NA,NA
"21","m21","iid",TRUE,"none",TRUE,0.45,-1001.583,29.8,-1831.2
"22","m22","ar1_a",TRUE,"none",TRUE,0.45,-1006.055,22.9,-1838.1
"23","m23","ar1_y",TRUE,"none",TRUE,1.08,-1006.972,21.1,-1839.9
"24","m24","2dar1",TRUE,"none",FALSE,0.88,-1009.402,NA,NA
"25","m25","iid",TRUE,"iid",FALSE,2.58,NA,NA,NA
"26","m26","ar1_a",TRUE,"iid",FALSE,0.71,-1026.539,NA,NA
"27","m27","ar1_y",TRUE,"iid",FALSE,1.12,-1027.444,NA,NA
"28","m28","2dar1",TRUE,"iid",FALSE,1.45,-1034.995,NA,NA
"29","m29","iid",TRUE,"ar1_a",TRUE,1.45,-1004.637,27.7,-1833.3
"30","m30","ar1_a",TRUE,"ar1_a",TRUE,1.54,-1008.87,21.3,-1839.7
"31","m31","ar1_y",TRUE,"ar1_a",FALSE,1.54,-1006.972,NA,NA
"32","m32","2dar1",TRUE,"ar1_a",TRUE,1.88,-1009.402,22.2,-1838.8
"33","m33","iid",TRUE,"ar1_y",TRUE,1.19,-1003.043,30.9,-1830.1
"34","m34","ar1_a",TRUE,"ar1_y",TRUE,1.16,-1006.055,26.9,-1834.1
"35","m35","ar1_y",TRUE,"ar1_y",FALSE,0.93,-1006.972,NA,NA
"36","m36","2dar1",TRUE,"ar1_y",FALSE,1.13,-1009.402,NA,NA
"37","m37","iid",TRUE,"2dar1",TRUE,1.7,-1016.261,6.5,-1854.5
"38","m38","ar1_a",TRUE,"2dar1",TRUE,1.81,-1017.747,5.5,-1855.5
"39","m39","ar1_y",TRUE,"2dar1",TRUE,2,-1016.775,7.5,-1853.5
"40","m40","2dar1",TRUE,"2dar1",FALSE,1.28,-1030.304,NA,NA
