"","Model","NAA_re","est_M","M_re","conv","pdHess","runtime","NLL","dAIC","AIC"
"1","m1","iid",FALSE,"none",TRUE,TRUE,0.91,-990.489,44.5,-1811
"2","m2","ar1_a",FALSE,"none",TRUE,TRUE,1.38,-998.838,29.8,-1825.7
"3","m3","ar1_y",FALSE,"none",TRUE,TRUE,1.97,-1001.814,23.9,-1831.6
"4","m4","2dar1",FALSE,"none",TRUE,TRUE,2.07,-1005.027,19.4,-1836.1
"5","m5","iid",FALSE,"iid",TRUE,TRUE,3.13,-1012.039,3.4,-1852.1
"6","m6","ar1_a",FALSE,"iid",TRUE,FALSE,0.98,-1015.469,NA,NA
"7","m7","ar1_y",FALSE,"iid",TRUE,TRUE,3.59,-1014.365,0.8,-1854.7
"8","m8","2dar1",FALSE,"iid",TRUE,FALSE,3.9,-1018.521,NA,NA
"9","m9","iid",FALSE,"ar1_a",TRUE,TRUE,3.11,-1001.418,26.7,-1828.8
"10","m10","ar1_a",FALSE,"ar1_a",FALSE,FALSE,1.64,NA,NA,NA
"11","m11","ar1_y",FALSE,"ar1_a",TRUE,TRUE,3.34,-1005.414,20.7,-1834.8
"12","m12","2dar1",FALSE,"ar1_a",TRUE,TRUE,3.37,-1008.462,16.6,-1838.9
"13","m13","iid",FALSE,"ar1_y",TRUE,TRUE,2.31,-1003.941,21.6,-1833.9
"14","m14","ar1_a",FALSE,"ar1_y",TRUE,FALSE,2.16,-1006.106,NA,NA
"15","m15","ar1_y",FALSE,"ar1_y",TRUE,TRUE,2.38,-1001.814,27.9,-1827.6
"16","m16","2dar1",FALSE,"ar1_y",FALSE,FALSE,1.54,-1005.027,NA,NA
"17","m17","iid",FALSE,"2dar1",TRUE,TRUE,3.26,-1010.241,11,-1844.5
"18","m18","ar1_a",FALSE,"2dar1",FALSE,FALSE,1.73,-1017.066,NA,NA
"19","m19","ar1_y",FALSE,"2dar1",FALSE,FALSE,3.18,-1015.385,NA,NA
"20","m20","2dar1",FALSE,"2dar1",FALSE,FALSE,3.95,-1009.395,NA,NA
"21","m21","iid",TRUE,"none",TRUE,TRUE,0.72,-1001.583,24.3,-1831.2
"22","m22","ar1_a",TRUE,"none",FALSE,TRUE,0.45,-1006.055,17.4,-1838.1
"23","m23","ar1_y",TRUE,"none",TRUE,TRUE,2.02,-1006.972,15.6,-1839.9
"24","m24","2dar1",TRUE,"none",TRUE,FALSE,0.73,-1009.402,NA,NA
"25","m25","iid",TRUE,"iid",FALSE,FALSE,0.67,-1022.392,NA,NA
"26","m26","ar1_a",TRUE,"iid",FALSE,FALSE,0.99,-1028.009,NA,NA
"27","m27","ar1_y",TRUE,"iid",FALSE,FALSE,1.22,-1026.717,NA,NA
"28","m28","2dar1",TRUE,"iid",FALSE,FALSE,3.73,NA,NA,NA
"29","m29","iid",TRUE,"ar1_a",TRUE,TRUE,2.91,-1004.637,22.2,-1833.3
"30","m30","ar1_a",TRUE,"ar1_a",TRUE,TRUE,3.23,-1008.87,15.8,-1839.7
"31","m31","ar1_y",TRUE,"ar1_a",FALSE,FALSE,1.66,-1006.972,NA,NA
"32","m32","2dar1",TRUE,"ar1_a",FALSE,FALSE,1.9,-1009.402,NA,NA
"33","m33","iid",TRUE,"ar1_y",TRUE,TRUE,2.6,-1003.043,25.4,-1830.1
"34","m34","ar1_a",TRUE,"ar1_y",FALSE,TRUE,1.29,-1006.055,21.4,-1834.1
"35","m35","ar1_y",TRUE,"ar1_y",TRUE,FALSE,2.58,-1006.972,NA,NA
"36","m36","2dar1",TRUE,"ar1_y",FALSE,FALSE,1.17,-1000.585,NA,NA
"37","m37","iid",TRUE,"2dar1",TRUE,TRUE,3.29,-1016.261,1,-1854.5
"38","m38","ar1_a",TRUE,"2dar1",TRUE,TRUE,3.61,-1017.747,0,-1855.5
"39","m39","ar1_y",TRUE,"2dar1",TRUE,TRUE,3.49,-1016.775,2,-1853.5
"40","m40","2dar1",TRUE,"2dar1",FALSE,FALSE,2.2,-1032.009,NA,NA
